index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
2032.0,2022-10-31,1635.9000244140625,60746.58984375,116037.0,7094.5,10988.150390625,2293.610107421875,27587.4609375,3617.5400390625,12949.75,4.189,4.255,4.44,4.05
2033.0,2022-11-01,1645.0,61121.3515625,116929.0,7186.2001953125,10890.849609375,2335.219970703125,27678.919921875,3651.02001953125,13037.2099609375,4.084,4.171,4.503,4.048
2034.0,2022-11-02,1645.699951171875,60906.08984375,116912.5,7144.10009765625,10524.7998046875,2336.8701171875,27663.390625,3622.010009765625,13100.169921875,4.107,4.15,4.558,4.096
2035.0,2022-11-03,1627.300048828125,60836.41015625,116896.0,7188.60009765625,10342.9404296875,2329.169921875,27431.5654296875,3593.179931640625,12986.599609375,4.172,4.203,4.648,4.149
2036.0,2022-11-04,1672.5,60950.359375,118155.0,7334.7998046875,10475.25,2348.429931640625,27199.740234375,3688.330078125,13026.7099609375,4.109,4.178,4.591,4.163
2037.0,2022-11-05,1673.8333333333333,61028.622395833336,117217.33333333333,7323.199869791667,10505.006510416666,2356.2166341145835,27309.040364583332,3695.1534016927085,13092.383463541666,4.125,4.19,4.6113333333333335,4.181333333333334
2038.0,2022-11-06,1675.1666666666667,61106.885416666664,116279.66666666667,7311.599934895833,10534.763020833334,2364.0033365885415,27418.340494791668,3701.9767252604165,13158.056966145834,4.125,4.19,4.631666666666667,4.199666666666666
2039.0,2022-11-07,1676.5,61185.1484375,115342.0,7300.0,10564.51953125,2371.7900390625,27527.640625,3708.800048828125,13223.73046875,4.191,4.268,4.652,4.218
2040.0,2022-11-08,1712.0999755859375,61109.349609375,116160.0,7306.10009765625,10616.2001953125,2399.0400390625,27872.109375,3739.280029296875,13347.759765625,4.162,4.242,4.565,4.128
2041.0,2022-11-09,1710.0999755859375,61033.55078125,113580.0,7296.2998046875,10353.169921875,2424.409912109375,27716.4296875,3728.030029296875,13638.8095703125,4.075,4.168,4.489,4.099
2042.0,2022-11-10,1750.300048828125,60613.69921875,109775.0,7375.2998046875,11114.150390625,2402.22998046875,27446.099609375,3846.56005859375,13503.759765625,4.04,4.089,4.178,3.811
2043.0,2022-11-11,1766.0,61795.0390625,112253.0,7318.0,11323.330078125,2483.159912109375,28263.5703125,3868.5,14007.5595703125,3.836,3.891,4.192,3.824
2044.0,2022-11-12,1768.5333251953125,61738.075520833336,112555.66666666667,7340.400065104167,11280.9599609375,2480.3232421875,28163.537109375,3874.836669921875,14063.33984375,3.833,3.9,4.206,3.837
2045.0,2022-11-13,1771.066650390625,61681.111979166664,112858.33333333333,7362.800130208333,11238.58984375,2477.486572265625,28063.50390625,3881.17333984375,14119.1201171875,3.833,3.9,4.22,3.85
2046.0,2022-11-14,1773.5999755859375,61624.1484375,113161.0,7385.2001953125,11196.2197265625,2474.64990234375,27963.470703125,3887.510009765625,14174.900390625,3.849,3.927,4.234,3.863
2047.0,2022-11-15,1773.800048828125,61872.98828125,111702.0,7369.39990234375,11358.41015625,2480.330078125,27990.169921875,3915.090087890625,14546.3095703125,3.757,3.872,4.142,3.777
2048.0,2022-11-16,1773.0,61980.71875,110243.0,7351.2001953125,11183.66015625,2477.449951171875,28028.30078125,3882.780029296875,14537.349609375,3.803,3.891,4.144,3.69
2049.0,2022-11-17,1760.800048828125,61750.6015625,109703.0,7346.5,11144.9599609375,2442.89990234375,27930.5703125,3878.419921875,14535.23046875,3.799,3.854,4.222,3.769
2050.0,2022-11-18,1751.9000244140625,61663.48046875,108880.0,7385.5,11146.0595703125,2444.47998046875,27899.76953125,3924.840087890625,14504.990234375,3.806,3.811,4.297,3.829
2051.0,2022-11-19,1747.0666910807292,61490.600260416664,109169.33333333333,7382.63330078125,11105.54296875,2436.1533203125,27914.776041666668,3919.6534016927085,14486.456705729166,3.787,3.796,4.3053333333333335,3.832666666666667
2052.0,2022-11-20,1742.2333577473958,61317.720052083336,109458.66666666667,7379.7666015625,11065.0263671875,2427.82666015625,27929.782552083332,3914.4667154947915,14467.923177083334,3.787,3.796,4.313666666666666,3.836333333333333
2053.0,2022-11-21,1737.4000244140625,61144.83984375,109748.0,7376.89990234375,11024.509765625,2419.5,27944.7890625,3909.280029296875,14449.3896484375,3.833,3.763,4.322,3.84
2054.0,2022-11-22,1738.300048828125,61418.9609375,109037.0,7452.7998046875,11174.41015625,2405.27001953125,28115.740234375,3929.89990234375,14542.2001953125,3.829,3.77,4.288,3.758
2055.0,2022-11-23,1744.9000244140625,61510.578125,108683.0,7465.2001953125,11285.3203125,2418.010009765625,28249.4150390625,3946.43994140625,14608.5400390625,3.859,3.783,4.22,3.689
2056.0,2022-11-24,1749.1000366210938,62272.6796875,111831.0,7466.60009765625,11255.84033203125,2441.330078125,28383.08984375,3961.989990234375,14784.0,3.687,3.623,4.181,3.661
2057.0,2022-11-25,1753.300048828125,62293.640625,108977.0,7486.7001953125,11226.3603515625,2437.860107421875,28283.029296875,3962.409912109375,14778.509765625,3.647,3.623,4.216,3.691
2058.0,2022-11-26,1748.9000244140625,62364.02734375,108912.0,7482.466796875,11167.406901041666,2427.9967447916665,28242.962890625,3953.4432779947915,14704.6298828125,3.64,3.613,4.2123333333333335,3.687
2059.0,2022-11-27,1744.5,62434.4140625,108847.0,7478.2333984375,11108.453450520834,2418.1333821614585,28202.896484375,3944.4766438802085,14630.75,3.64,3.613,4.208666666666667,3.683
2060.0,2022-11-28,1740.0999755859375,62504.80078125,108782.0,7474.0,11049.5,2408.27001953125,28162.830078125,3935.510009765625,14556.8701171875,3.67,3.61,4.205,3.679
2061.0,2022-11-29,1748.4000244140625,62681.83984375,110910.0,7512.0,10983.7802734375,2433.389892578125,28027.83984375,3934.43994140625,14709.6396484375,3.723,3.672,4.247,3.75
2062.0,2022-11-30,1746.0,63099.6484375,112486.0,7573.10009765625,11468.0,2472.530029296875,27968.990234375,3964.719970703125,14879.5498046875,3.666,3.654,4.066,3.611
2063.0,2022-12-01,1801.0999755859375,63284.19140625,110926.0,7558.5,11482.4501953125,2479.840087890625,28226.080078125,3984.5,15012.7998046875,3.657,3.666,3.967,3.51
2064.0,2022-12-02,1795.9000244140625,62868.5,111924.0,7556.2001953125,11461.5,2434.330078125,27777.900390625,3977.89990234375,14970.6796875,3.617,3.585,3.997,3.492
2065.0,2022-12-03,1786.4000244140625,62857.200520833336,111083.0,7559.966796875,11387.646809895834,2429.3267415364585,27792.067057291668,3970.776611328125,14974.033203125,3.615,3.575,4.04,3.522333333333333
2066.0,2022-12-04,1776.9000244140625,62845.901041666664,110242.0,7563.7333984375,11313.793619791666,2424.3234049479165,27806.233723958332,3963.6533203125,14977.38671875,3.615,3.575,4.083,3.552666666666666
2067.0,2022-12-05,1767.4000244140625,62834.6015625,109401.0,7567.5,11239.9404296875,2419.320068359375,27820.400390625,3956.530029296875,14980.740234375,3.617,3.564,4.126,3.583
2068.0,2022-12-06,1769.300048828125,62626.359375,109533.0,7521.39990234375,11014.8896484375,2393.159912109375,27885.869140625,3939.18994140625,14728.8798828125,3.634,3.503,4.103,3.531
2069.0,2022-12-07,1785.5,62410.6796875,109361.0,7489.2001953125,10958.5498046875,2382.81005859375,27686.400390625,3920.89990234375,14630.009765625,3.666,3.51,3.995,3.421
2070.0,2022-12-08,1788.699951171875,62570.6796875,107245.0,7472.2001953125,11082.0,2371.080078125,27574.4296875,3921.27001953125,14553.0400390625,3.671,3.527,4.054,3.489
2071.0,2022-12-09,1798.0999755859375,62181.671875,107689.0,7476.60009765625,11004.6201171875,2389.0400390625,27901.009765625,3942.6201171875,14705.4296875,3.583,3.445,4.098,3.586
2072.0,2022-12-10,1792.2333170572917,62164.638020833336,106880.66666666667,7466.400065104167,11050.993489583334,2383.7000325520835,27881.449869791668,3935.686767578125,14674.483072916666,3.583,3.445,4.110333333333333,3.5963333333333334
2073.0,2022-12-11,1786.3666585286458,62147.604166666664,106072.33333333333,7456.200032552083,11097.366861979166,2378.3600260416665,27861.889973958332,3928.75341796875,14643.536458333334,3.583,3.445,4.1226666666666665,3.6066666666666665
2074.0,2022-12-12,1780.5,62130.5703125,105264.0,7446.0,11143.740234375,2373.02001953125,27842.330078125,3921.820068359375,14612.58984375,3.623,3.449,4.135,3.617
2075.0,2022-12-13,1813.9000244140625,62533.30078125,103892.0,7502.89990234375,11256.8095703125,2372.39990234375,27954.849609375,3986.830078125,14522.9599609375,3.625,3.469,3.941,3.501
2076.0,2022-12-14,1807.5,62677.91015625,103803.0,7495.89990234375,11170.8896484375,2399.25,28156.2109375,3975.260009765625,14739.3603515625,3.53,3.407,3.914,3.479
2077.0,2022-12-15,1777.199951171875,61799.03125,103738.0,7426.2001953125,10810.5302734375,2360.969970703125,28051.69921875,3835.699951171875,14734.1298828125,3.558,3.399,3.947,3.45
2078.0,2022-12-16,1790.0,61337.80859375,102825.0,7332.10009765625,10705.41015625,2360.02001953125,27527.119140625,3804.02001953125,14528.5498046875,3.538,3.362,3.908,3.488
2079.0,2022-12-17,1789.2333170572917,61493.936197916664,103393.33333333333,7341.833333333333,10652.283528645834,2357.4033203125,27430.626302083332,3806.4266764322915,14496.806640625,3.535,3.35,3.939666666666666,3.522
2080.0,2022-12-18,1788.4666341145833,61650.063802083336,103961.66666666667,7351.566569010417,10599.156901041666,2354.78662109375,27334.133463541668,3808.8333333333335,14465.0634765625,3.535,3.35,3.971333333333333,3.556
2081.0,2022-12-19,1787.699951171875,61806.19140625,104530.0,7361.2998046875,10546.0302734375,2352.169921875,27237.640625,3811.239990234375,14433.3203125,3.545,3.39,4.003,3.59
